"code", "playlistname"
46534296, 0915-2 신나는2000년대노래
46534282, 신나는 2000년대 노래
46525537, 0913/그시절 노래방 열창곡
46515853, 0911/이시간 듣기좋은노래
46505542, 0909/팝송
46453832, 0829/5천팬과자이벤트
46443898, 0827/가을냄새나는 노래
46438795, 0826/막바지더위,시원한노래
46434591, 0825/사연라디오
46419773, 0822/특이하고 재밌는 노래들
46415193, 0821/기분좋은 산뜻한 노래
46410884, 슈퍼스타k
46401676, 0818/선선한 여름밤 갬성
46395770, 0817-1
46391121, 0816/방탄플리
46389837, 0816-1
46384616, 0815-1
46383445, 0814/여름에 듣기 좋은 노래
46380969, 0814/윤하 플리
46372137, 0812/이시간듣기좋은노래
46372130, 0812/크러쉬 플리
46368449, 0811/휴가후유증
46350262, 0807/수능금지곡
46345658, 0806/휴가철 듣기좋은 노래
46340499, 0805/처지는 여름,신나는 팝송
46336534, 0804/쳐지는 여름 신나는 노래
46329190, 0803-1
46322271, 0801/고문당하기 좋은 노래
46307847, 0729/어닝's pick 띵곡
46303069, 0728/어닝's 싸이BGM
46296531, 0727/늘어지는 토요일 낮
46288164, 0725/달달한 노래
46284292, 0724/당신을 위로해줄노래
46282918, 힐링노래
46282803, 0724/태연플리
46279070, 0723/드라마ost
46262027, 0720-1
46250830, 0717/그냥 내가 좋아하는 노래
46246454, 0716/음악예능프로그램 음원
46240807, 0715/비제이취향 팝송
46240082, 0715/헤이즈플리
46236692, 0714/여행갈때 듣기좋은 노래
46229650, 0713-1
46219277, 0710/한국갬성힙합
46217088, 0710/god플리
46212753, 한국감성 힙합
46208543, 0708/더위에 지친 여름, 신나는 노래
46204875, 0707-2/리메이크곡
46201483, 0707-1
46190118, 어닝플리
46187776, 0704/지극히비제이취향노래
46187759, 0704/씨스타플리
46184658, 0703/이시간 듣기좋은노래
46182301, 0703/케이윌플리
46136843, 0702/여행갈때 듣기좋은 노래
46170438, 0630/요일이 들어간 노래
46167237, 0630-1
46160137, 0628/드라마ost
46154306, 0627/비오는날듣기좋은싸이갬성
46153952, 0627/먼키플리
46146285, 0625/아이돌 솔로곡
46141441, 0624/지친 저녁,듣기 좋은 노래
